   x_initial       x_final           u_x
------------------------------------------
    0.000000      0.000000      0.000000
    0.111111      0.222222      0.111111
    0.222222      0.444444      0.222222
    0.333333      0.666667      0.333333
    0.444444      0.888889      0.444444
    0.555556      1.111111      0.555556
    0.666667      1.333333      0.666667
    0.777778      1.555556      0.777778
    0.888889      1.777778      0.888889
    1.000000      2.000000      1.000000
