           x             y            z             ux            uy           uz 
    0.200000      0.000000     0.114286     0.000221     -0.000033    -0.002164 
    0.200000      0.000000     0.142857     0.000700      0.000023    -0.002184 
    0.200000      0.000000     0.171429     0.001196      0.000071    -0.002224 
    0.300000      0.000000     0.028571    -0.001654     -0.000203    -0.004426 
    0.300000      0.000000     0.057143    -0.000990     -0.000163    -0.004398 
    0.300000      0.000000     0.085714    -0.000338     -0.000117    -0.004385 
    0.300000      0.000000     0.114286     0.000310     -0.000069    -0.004387 
    0.300000      0.000000     0.142857     0.000963     -0.000023    -0.004404 
    0.300000      0.000000     0.171429     0.001628      0.000018    -0.004435 
    0.400000      0.000000     0.028571    -0.002003     -0.000197    -0.007151 
    0.400000      0.000000     0.057143    -0.001205     -0.000165    -0.007131 
    0.400000      0.000000     0.085714    -0.000419     -0.000129    -0.007121 
    0.400000      0.000000     0.114286     0.000364     -0.000093    -0.007122 
    0.400000      0.000000     0.142857     0.001152     -0.000058    -0.007134 
    0.400000      0.000000     0.171429     0.001950     -0.000028    -0.007157 
    0.500000      0.000000     0.028571    -0.002233     -0.000205    -0.010248 
    0.500000      0.000000     0.057143    -0.001343     -0.000179    -0.010233 
    0.500000      0.000000     0.085714    -0.000462     -0.000150    -0.010225 
    0.500000      0.000000     0.114286     0.000417     -0.000121    -0.010225 
    0.500000      0.000000     0.142857     0.001300     -0.000094    -0.010234 
    0.500000      0.000000     0.171429     0.002192     -0.000071    -0.010250 
    0.600000      0.000000     0.028571    -0.002394     -0.000213    -0.013591 
    0.600000      0.000000     0.057143    -0.001441     -0.000193    -0.013581 
    0.600000      0.000000     0.085714    -0.000495     -0.000171    -0.013577 
    0.600000      0.000000     0.114286     0.000450     -0.000149    -0.013577 
    0.600000      0.000000     0.142857     0.001398     -0.000128    -0.013583 
    0.600000      0.000000     0.171429     0.002353     -0.000110    -0.013594 
    0.700000      0.000000     0.028571    -0.002488     -0.000217    -0.017085 
    0.700000      0.000000     0.057143    -0.001497     -0.000201    -0.017080 
    0.700000      0.000000     0.085714    -0.000511     -0.000184    -0.017077 
    0.700000      0.000000     0.114286     0.000474     -0.000167    -0.017078 
    0.700000      0.000000     0.142857     0.001461     -0.000151    -0.017082 
    0.700000      0.000000     0.171429     0.002454     -0.000136    -0.017089 
    0.800000      0.000000     0.028571    -0.002541     -0.000220    -0.020657 
    0.800000      0.000000     0.057143    -0.001530     -0.000208    -0.020655 
    0.800000      0.000000     0.085714    -0.000522     -0.000195    -0.020653 
    0.800000      0.000000     0.114286     0.000485     -0.000182    -0.020654 
    0.800000      0.000000     0.142857     0.001494     -0.000169    -0.020656 
    0.800000      0.000000     0.171429     0.002506     -0.000157    -0.020659 
    0.900000      0.000000     0.028571    -0.002561     -0.000226    -0.024249 
    0.900000      0.000000     0.057143    -0.001542     -0.000215    -0.024248 
    0.900000      0.000000     0.085714    -0.000525     -0.000204    -0.024248 
    0.900000      0.000000     0.114286     0.000491     -0.000193    -0.024248 
    0.900000      0.000000     0.142857     0.001508     -0.000183    -0.024249 
    0.900000      0.000000     0.171429     0.002527     -0.000172    -0.024251 
    1.000000      0.100000     0.028571    -0.002559     -0.000233    -0.027867 
    1.000000      0.100000     0.057143    -0.001539     -0.000223    -0.027866 
    1.000000      0.100000     0.085714    -0.000519     -0.000213    -0.027866 
    1.000000      0.100000     0.114286     0.000500     -0.000203    -0.027866 
    1.000000      0.100000     0.142857     0.001519     -0.000193    -0.027866 
    1.000000      0.100000     0.171429     0.002540     -0.000183    -0.027867 
    0.900000      0.200000     0.028571    -0.002543     -0.000222    -0.024320 
    0.900000      0.200000     0.057143    -0.001524     -0.000212    -0.024319 
    0.900000      0.200000     0.085714    -0.000507     -0.000203    -0.024318 
    0.900000      0.200000     0.114286     0.000509     -0.000194    -0.024317 
    0.900000      0.200000     0.142857     0.001526     -0.000185    -0.024318 
    0.900000      0.200000     0.171429     0.002545     -0.000176    -0.024319 
    0.800000      0.200000     0.028571    -0.002521     -0.000206    -0.020728 
    0.800000      0.200000     0.057143    -0.001510     -0.000198    -0.020724 
    0.800000      0.200000     0.085714    -0.000502     -0.000192    -0.020722 
    0.800000      0.200000     0.114286     0.000505     -0.000185    -0.020721 
    0.800000      0.200000     0.142857     0.001513     -0.000179    -0.020722 
    0.800000      0.200000     0.171429     0.002526     -0.000172    -0.020725 
    0.700000      0.200000     0.028571    -0.002469     -0.000183    -0.017156 
    0.700000      0.200000     0.057143    -0.001476     -0.000179    -0.017149 
    0.700000      0.200000     0.085714    -0.000490     -0.000176    -0.017145 
    0.700000      0.200000     0.114286     0.000496     -0.000174    -0.017144 
    0.700000      0.200000     0.142857     0.001483     -0.000172    -0.017147 
    0.700000      0.200000     0.171429     0.002476     -0.000169    -0.017152 
    0.600000      0.200000     0.028571    -0.002365     -0.000157    -0.013660 
    0.600000      0.200000     0.057143    -0.001412     -0.000158    -0.013648 
    0.600000      0.200000     0.085714    -0.000466     -0.000161    -0.013642 
    0.600000      0.200000     0.114286     0.000478     -0.000164    -0.013640 
    0.600000      0.200000     0.142857     0.001426     -0.000167    -0.013643 
    0.600000      0.200000     0.171429     0.002381     -0.000169    -0.013652 
    0.500000      0.200000     0.028571    -0.002203     -0.000115    -0.010315 
    0.500000      0.200000     0.057143    -0.001311     -0.000123    -0.010297 
    0.500000      0.200000     0.085714    -0.000429     -0.000133    -0.010287 
    0.500000      0.200000     0.114286     0.000450     -0.000145    -0.010285 
    0.500000      0.200000     0.142857     0.001332     -0.000156    -0.010290 
    0.500000      0.200000     0.171429     0.002224     -0.000164    -0.010304 
    0.400000      0.200000     0.028571    -0.001948     -0.000072    -0.007217 
    0.400000      0.200000     0.057143    -0.001153     -0.000085    -0.007192 
    0.400000      0.200000     0.085714    -0.000368     -0.000103    -0.007179 
    0.400000      0.200000     0.114286     0.000413     -0.000124    -0.007177 
    0.400000      0.200000     0.142857     0.001199     -0.000143    -0.007186 
    0.400000      0.200000     0.171429     0.001995     -0.000160    -0.007207 
    0.300000      0.200000     0.028571    -0.001633     -0.000022    -0.004488 
    0.300000      0.200000     0.057143    -0.000969     -0.000044    -0.004456 
    0.300000      0.200000     0.085714    -0.000317     -0.000074    -0.004439 
    0.300000      0.200000     0.114286     0.000332     -0.000105    -0.004436 
    0.300000      0.200000     0.142857     0.000986     -0.000136    -0.004449 
    0.300000      0.200000     0.171429     0.001655     -0.000161    -0.004476 
    0.200000      0.200000     0.028571    -0.001189      0.000044    -0.002270 
    0.200000      0.200000     0.057143    -0.000699      0.000011    -0.002228 
    0.200000      0.200000     0.085714    -0.000223     -0.000031    -0.002204 
    0.200000      0.200000     0.114286     0.000249     -0.000076    -0.002200 
    0.200000      0.200000     0.142857     0.000725     -0.000119    -0.002216 
    0.200000      0.200000     0.171429     0.001216     -0.000156    -0.002253 
    0.100000      0.200000     0.028571    -0.000666      0.000114    -0.000714 
    0.100000      0.200000     0.057143    -0.000393      0.000070    -0.000665 
    0.100000      0.200000     0.085714    -0.000139      0.000010    -0.000638 
    0.100000      0.200000     0.114286     0.000108     -0.000054    -0.000634 
    0.100000      0.200000     0.142857     0.000362     -0.000118    -0.000652 
    0.100000      0.200000     0.171429     0.000640     -0.000171    -0.000695 
    0.000000      0.100000     0.028571     0.000000      0.000000     0.000000 
    0.000000      0.100000     0.057143     0.000000      0.000000     0.000000 
    0.000000      0.100000     0.085714     0.000000      0.000000     0.000000 
    0.000000      0.100000     0.114286     0.000000      0.000000     0.000000 
    0.000000      0.100000     0.142857     0.000000      0.000000     0.000000 
    0.000000      0.100000     0.171429     0.000000      0.000000     0.000000 
    0.850000      0.113397     0.200000     0.003549     -0.000160    -0.022500 
    0.650000      0.101392     0.200000     0.003402     -0.000137    -0.015392 
