           x             y         ux_ff       ux_sofa         uy_ff       uy_sofa        err_ux        err_uy
    0.157895      0.171429      0.001038      0.001038     -0.001615     -0.001615      0.000000     -0.000000
    0.210526      0.028571     -0.001310     -0.001310     -0.002589     -0.002589     -0.000000     -0.000000
    0.210526      0.057143     -0.000774     -0.000774     -0.002541     -0.002541     -0.000000     -0.000000
    0.210526      0.085714     -0.000253     -0.000253     -0.002518     -0.002518     -0.000000     -0.000000
    0.210526      0.114286      0.000263      0.000263     -0.002520     -0.002520      0.000000     -0.000000
    0.210526      0.142857      0.000785      0.000785     -0.002548     -0.002548      0.000000     -0.000000
    0.210526      0.171429      0.001323      0.001323     -0.002600     -0.002600      0.000000     -0.000000
    0.263158      0.028571     -0.001558     -0.001558     -0.003764     -0.003764     -0.000000     -0.000000
    0.263158      0.057143     -0.000922     -0.000922     -0.003722     -0.003722     -0.000000     -0.000000
    0.263158      0.085714     -0.000301     -0.000301     -0.003702     -0.003702     -0.000000     -0.000000
    0.263158      0.114286      0.000316      0.000316     -0.003704     -0.003704      0.000000     -0.000000
    0.263158      0.142857      0.000937      0.000937     -0.003728     -0.003728      0.000000     -0.000000
    0.263158      0.171429      0.001573      0.001573     -0.003773     -0.003773      0.000000     -0.000000
    0.315789      0.028571     -0.001772     -0.001772     -0.005102     -0.005102     -0.000000     -0.000000
    0.315789      0.057143     -0.001051     -0.001051     -0.005066     -0.005066     -0.000000     -0.000000
    0.315789      0.085714     -0.000343     -0.000343     -0.005049     -0.005049     -0.000000     -0.000000
    0.315789      0.114286      0.000361      0.000361     -0.005050     -0.005050      0.000000     -0.000000
    0.315789      0.142857      0.001069      0.001069     -0.005071     -0.005071      0.000000     -0.000000
    0.315789      0.171429      0.001789      0.001789     -0.005110     -0.005110      0.000000     -0.000000
    0.368421      0.028571     -0.001956     -0.001956     -0.006580     -0.006580     -0.000000     -0.000000
    0.368421      0.057143     -0.001162     -0.001162     -0.006549     -0.006549     -0.000000     -0.000000
    0.368421      0.085714     -0.000379     -0.000379     -0.006534     -0.006534     -0.000000     -0.000000
    0.368421      0.114286      0.000399      0.000399     -0.006536     -0.006536      0.000000     -0.000000
    0.368421      0.142857      0.001181      0.001181     -0.006553     -0.006553      0.000000     -0.000000
    0.368421      0.171429      0.001976      0.001976     -0.006587     -0.006587      0.000000     -0.000000
    0.421053      0.028571     -0.002112     -0.002112     -0.008176     -0.008176     -0.000000     -0.000000
    0.421053      0.057143     -0.001255     -0.001255     -0.008150     -0.008150     -0.000000     -0.000000
    0.421053      0.085714     -0.000410     -0.000410     -0.008137     -0.008137     -0.000000     -0.000000
    0.421053      0.114286      0.000432      0.000432     -0.008139     -0.008139      0.000000     -0.000000
    0.421053      0.142857      0.001277      0.001277     -0.008153     -0.008153      0.000000     -0.000000
    0.421053      0.171429      0.002133      0.002133     -0.008182     -0.008182      0.000000     -0.000000
    0.473684      0.028571     -0.002242     -0.002242     -0.009870     -0.009870     -0.000000     -0.000000
    0.473684      0.057143     -0.001334     -0.001334     -0.009848     -0.009848     -0.000000     -0.000000
    0.473684      0.085714     -0.000435     -0.000435     -0.009838     -0.009838     -0.000000     -0.000000
    0.473684      0.114286      0.000459      0.000459     -0.009839     -0.009839      0.000000     -0.000000
    0.473684      0.142857      0.001357      0.001357     -0.009852     -0.009852      0.000000     -0.000000
    0.473684      0.171429      0.002265      0.002265     -0.009875     -0.009875      0.000000     -0.000000
    0.526316      0.028571     -0.002349     -0.002349     -0.011644     -0.011644     -0.000000     -0.000000
    0.526316      0.057143     -0.001398     -0.001398     -0.011626     -0.011626     -0.000000     -0.000000
    0.526316      0.085714     -0.000456     -0.000456     -0.011618     -0.011618     -0.000000     -0.000000
    0.526316      0.114286      0.000482      0.000482     -0.011619     -0.011619      0.000000     -0.000000
    0.526316      0.142857      0.001423      0.001423     -0.011629     -0.011629      0.000000     -0.000000
    0.526316      0.171429      0.002374      0.002374     -0.011649     -0.011649      0.000000     -0.000000
    0.578947      0.028571     -0.002434     -0.002434     -0.013482     -0.013482     -0.000000     -0.000000
    0.578947      0.057143     -0.001450     -0.001450     -0.013468     -0.013468     -0.000000     -0.000000
    0.578947      0.085714     -0.000473     -0.000473     -0.013461     -0.013461     -0.000000     -0.000000
    0.578947      0.114286      0.000500      0.000500     -0.013462     -0.013462      0.000000     -0.000000
    0.578947      0.142857      0.001476      0.001476     -0.013470     -0.013470      0.000000     -0.000000
    0.578947      0.171429      0.002461      0.002461     -0.013486     -0.013486      0.000000     -0.000000
    0.631579      0.028571     -0.002501     -0.002501     -0.015368     -0.015368     -0.000000     -0.000000
    0.631579      0.057143     -0.001490     -0.001490     -0.015357     -0.015357     -0.000000     -0.000000
    0.631579      0.085714     -0.000486     -0.000486     -0.015352     -0.015352     -0.000000     -0.000000
    0.631579      0.114286      0.000515      0.000515     -0.015353     -0.015353      0.000000     -0.000000
    0.631579      0.142857      0.001518      0.001518     -0.015360     -0.015360      0.000000     -0.000000
    0.631579      0.171429      0.002529      0.002529     -0.015372     -0.015372      0.000000     -0.000000
    0.684211      0.028571     -0.002551     -0.002551     -0.017290     -0.017290     -0.000000     -0.000000
    0.684211      0.057143     -0.001521     -0.001521     -0.017283     -0.017283     -0.000000     -0.000000
    0.684211      0.085714     -0.000496     -0.000496     -0.017279     -0.017279     -0.000000     -0.000000
    0.684211      0.114286      0.000526      0.000526     -0.017279     -0.017279      0.000000     -0.000000
