           x             y            ux            uy
    0.842105      0.085714     -0.000512     -0.023165
    0.842105      0.114286      0.000544     -0.023165
    0.842105      0.142857      0.001600     -0.023167
    0.842105      0.171429      0.002659     -0.023170
    0.894737      0.028571     -0.002636     -0.025139
    0.894737      0.057143     -0.001573     -0.025137
    0.894737      0.085714     -0.000513     -0.025137
    0.894737      0.114286      0.000546     -0.025137
    0.894737      0.142857      0.001606     -0.025138
    0.894737      0.171429      0.002667     -0.025140
    0.947368      0.028571     -0.002639     -0.027106
    0.947368      0.057143     -0.001576     -0.027105
    0.947368      0.085714     -0.000514     -0.027105
    0.947368      0.114286      0.000547     -0.027105
    0.947368      0.142857      0.001608     -0.027105
    0.947368      0.171429      0.002671     -0.027106
