   x_initial    y_initial      x_final      y_final          u_x          u_y
    0.421053     0.085714     0.420643     0.077577    -0.000410    -0.008137
    0.421053     0.114286     0.421485     0.106147     0.000432    -0.008139
    0.421053     0.142857     0.422330     0.134704     0.001277    -0.008153
    0.421053     0.171429     0.423186     0.163247     0.002133    -0.008182
    0.473684     0.028571     0.471442     0.018702    -0.002242    -0.009870
    0.473684     0.057143     0.472351     0.047295    -0.001334    -0.009848
    0.473684     0.085714     0.473249     0.075876    -0.000435    -0.009838
    0.473684     0.114286     0.474144     0.104447     0.000459    -0.009839
    0.473684     0.142857     0.475042     0.133005     0.001357    -0.009852
    0.473684     0.171429     0.475950     0.161553     0.002265    -0.009875
    0.526316     0.028571     0.523967     0.016928    -0.002349    -0.011644
    0.526316     0.057143     0.524918     0.045516    -0.001398    -0.011626
    0.526316     0.085714     0.525859     0.074096    -0.000456    -0.011618
    0.526316     0.114286     0.526798     0.102667     0.000482    -0.011619
    0.526316     0.142857     0.527739     0.131228     0.001423    -0.011629
    0.526316     0.171429     0.528689     0.159780     0.002374    -0.011649
    0.578947     0.028571     0.576513     0.015090    -0.002434    -0.013482
    0.578947     0.057143     0.577498     0.043675    -0.001450    -0.013468
    0.578947     0.085714     0.578474     0.072253    -0.000473    -0.013461
    0.578947     0.114286     0.579448     0.100824     0.000500    -0.013462
    0.578947     0.142857     0.580424     0.129387     0.001476    -0.013470
    0.578947     0.171429     0.581408     0.157943     0.002461    -0.013486
    0.631579     0.028571     0.629078     0.013203    -0.002501    -0.015368
    0.631579     0.057143     0.630089     0.041785    -0.001490    -0.015357
    0.631579     0.085714     0.631093     0.070362    -0.000486    -0.015352
    0.631579     0.114286     0.632094     0.098933     0.000515    -0.015353
    0.631579     0.142857     0.633097     0.127497     0.001518    -0.015360
    0.631579     0.171429     0.634108     0.156057     0.002529    -0.015372
    0.684211     0.028571     0.681659     0.011281    -0.002551    -0.017290
    0.684211     0.057143     0.682690     0.039860    -0.001521    -0.017283
    0.684211     0.085714     0.683714     0.068436    -0.000496    -0.017279
    0.684211     0.114286     0.684736     0.097006     0.000526    -0.017279
    0.684211     0.142857     0.685761     0.125573     0.001550    -0.017285
    0.684211     0.171429     0.686791     0.154135     0.002580    -0.017294
    0.736842     0.028571     0.734255     0.009334    -0.002588    -0.019237
    0.736842     0.057143     0.735299     0.037911    -0.001543    -0.019232
    0.736842     0.085714     0.736339     0.066485    -0.000504    -0.019229
    0.736842     0.114286     0.737376     0.095056     0.000534    -0.019230
    0.736842     0.142857     0.738415     0.123624     0.001573    -0.019233
    0.736842     0.171429     0.739459     0.152188     0.002617    -0.019240
    0.789474     0.028571     0.786862     0.007372    -0.002612    -0.021199
    0.789474     0.057143     0.787915     0.035947    -0.001558    -0.021196
    0.789474     0.085714     0.788965     0.064521    -0.000508    -0.021194
    0.789474     0.114286     0.790013     0.093092     0.000540    -0.021194
    0.789474     0.142857     0.791063     0.121660     0.001589    -0.021197
    0.789474     0.171429     0.792116     0.150227     0.002643    -0.021201
    0.842105     0.028571     0.839478     0.005403    -0.002627    -0.023168
    0.842105     0.057143     0.840537     0.033977    -0.001568    -0.023166
    0.842105     0.085714     0.841594     0.062549    -0.000512    -0.023165
    0.842105     0.114286     0.842649     0.091120     0.000544    -0.023165
    0.842105     0.142857     0.843705     0.119690     0.001600    -0.023167
    0.842105     0.171429     0.844764     0.148259     0.002659    -0.023170
    0.894737     0.028571     0.892101     0.003433    -0.002636    -0.025139
    0.894737     0.057143     0.893163     0.032006    -0.001573    -0.025137
    0.894737     0.085714     0.894223     0.060578    -0.000513    -0.025137
    0.894737     0.114286     0.895283     0.089149     0.000546    -0.025137
    0.894737     0.142857     0.896342     0.117719     0.001606    -0.025138
    0.894737     0.171429     0.897404     0.146289     0.002667    -0.025140
    0.947368     0.028571     0.944729     0.001466    -0.002639    -0.027106
    0.947368     0.057143     0.945792     0.030038    -0.001576    -0.027105
    0.947368     0.085714     0.946854     0.058610    -0.000514    -0.027105
    0.947368     0.114286     0.947915     0.087181     0.000547    -0.027105
    0.947368     0.142857     0.948977     0.115752     0.001608    -0.027105
    0.947368     0.171429     0.950039     0.144322     0.002671    -0.027106
