           x             y         ux_ff       ux_sofa         uy_ff       uy_sofa        err_ux        err_uy
    0.210526      0.028571     -0.001468     -0.001310     -0.002847     -0.002589      0.000158      0.000259
    0.210526      0.057143     -0.000869     -0.000774     -0.002811     -0.002541      0.000095      0.000270
    0.210526      0.085714     -0.000286     -0.000253     -0.002793     -0.002518      0.000033      0.000275
    0.210526      0.114286      0.000293      0.000263     -0.002795     -0.002520     -0.000029      0.000275
    0.210526      0.142857      0.000876      0.000785     -0.002817     -0.002548     -0.000091      0.000268
    0.210526      0.171429      0.001476      0.001323     -0.002857     -0.002600     -0.000153      0.000257
    0.263158      0.028571     -0.001741     -0.001558     -0.004147     -0.003764      0.000183      0.000383
    0.263158      0.057143     -0.001033     -0.000922     -0.004115     -0.003722      0.000110      0.000393
    0.263158      0.085714     -0.000339     -0.000301     -0.004100     -0.003702      0.000038      0.000398
    0.263158      0.114286      0.000349      0.000316     -0.004101     -0.003704     -0.000033      0.000397
    0.263158      0.142857      0.001042      0.000937     -0.004120     -0.003728     -0.000105      0.000392
    0.263158      0.171429      0.001750      0.001573     -0.004155     -0.003773     -0.000177      0.000382
    0.315789      0.028571     -0.001977     -0.001772     -0.005627     -0.005102      0.000204      0.000525
    0.315789      0.057143     -0.001175     -0.001051     -0.005599     -0.005066      0.000124      0.000533
    0.315789      0.085714     -0.000386     -0.000343     -0.005586     -0.005049      0.000043      0.000537
    0.315789      0.114286      0.000398      0.000361     -0.005587     -0.005050     -0.000037      0.000537
    0.315789      0.142857      0.001186      0.001069     -0.005603     -0.005071     -0.000117      0.000533
    0.315789      0.171429      0.001988      0.001789     -0.005634     -0.005110     -0.000198      0.000524
    0.368421      0.028571     -0.002179     -0.001956     -0.007261     -0.006580      0.000223      0.000681
    0.368421      0.057143     -0.001297     -0.001162     -0.007237     -0.006549      0.000135      0.000688
    0.368421      0.085714     -0.000427     -0.000379     -0.007226     -0.006534      0.000047      0.000692
    0.368421      0.114286      0.000439      0.000399     -0.007227     -0.006536     -0.000040      0.000692
    0.368421      0.142857      0.001309      0.001181     -0.007241     -0.006553     -0.000128      0.000688
    0.368421      0.171429      0.002192      0.001976     -0.007267     -0.006587     -0.000216      0.000680
    0.421053      0.028571     -0.002351     -0.002112     -0.009025     -0.008176      0.000239      0.000850
    0.421053      0.057143     -0.001400     -0.001255     -0.009005     -0.008150      0.000145      0.000856
    0.421053      0.085714     -0.000461     -0.000410     -0.008996     -0.008137      0.000051      0.000859
    0.421053      0.114286      0.000475      0.000432     -0.008997     -0.008139     -0.000043      0.000858
    0.421053      0.142857      0.001414      0.001277     -0.009009     -0.008153     -0.000137      0.000855
    0.421053      0.171429      0.002364      0.002133     -0.009031     -0.008182     -0.000231      0.000849
    0.473684      0.028571     -0.002494     -0.002242     -0.010898     -0.009870      0.000252      0.001028
    0.473684      0.057143     -0.001486     -0.001334     -0.010882     -0.009848      0.000153      0.001033
    0.473684      0.085714     -0.000489     -0.000435     -0.010874     -0.009838      0.000054      0.001036
    0.473684      0.114286      0.000504      0.000459     -0.010875     -0.009839     -0.000045      0.001036
    0.473684      0.142857      0.001501      0.001357     -0.010885     -0.009852     -0.000144      0.001033
    0.473684      0.171429      0.002509      0.002265     -0.010903     -0.009875     -0.000243      0.001028
    0.526316      0.028571     -0.002612     -0.002349     -0.012860     -0.011644      0.000263      0.001216
    0.526316      0.057143     -0.001557     -0.001398     -0.012846     -0.011626      0.000159      0.001220
    0.526316      0.085714     -0.000513     -0.000456     -0.012840     -0.011618      0.000056      0.001222
    0.526316      0.114286      0.000529      0.000482     -0.012841     -0.011619     -0.000047      0.001222
    0.526316      0.142857      0.001573      0.001423     -0.012849     -0.011629     -0.000150      0.001220
    0.526316      0.171429      0.002627      0.002374     -0.012864     -0.011649     -0.000254      0.001215
    0.578947      0.028571     -0.002706     -0.002434     -0.014892     -0.013482      0.000272      0.001410
    0.578947      0.057143     -0.001614     -0.001450     -0.014881     -0.013468      0.000165      0.001413
    0.578947      0.085714     -0.000531     -0.000473     -0.014876     -0.013461      0.000058      0.001415
    0.578947      0.114286      0.000549      0.000500     -0.014877     -0.013462     -0.000048      0.001415
    0.578947      0.142857      0.001631      0.001476     -0.014883     -0.013470     -0.000155      0.001413
