   x_initial    y_initial      x_final      y_final          u_x          u_y
    0.421053     0.085714     0.420592     0.076718    -0.000461    -0.008996
    0.421053     0.114286     0.421527     0.105289     0.000475    -0.008997
    0.421053     0.142857     0.422466     0.133848     0.001414    -0.009009
    0.421053     0.171429     0.423417     0.162398     0.002364    -0.009031
    0.473684     0.028571     0.471190     0.017673    -0.002494    -0.010898
    0.473684     0.057143     0.472198     0.046261    -0.001486    -0.010882
    0.473684     0.085714     0.473195     0.074840    -0.000489    -0.010874
    0.473684     0.114286     0.474189     0.103411     0.000504    -0.010875
    0.473684     0.142857     0.475186     0.131972     0.001501    -0.010885
    0.473684     0.171429     0.476193     0.160525     0.002509    -0.010903
    0.526316     0.028571     0.523704     0.015712    -0.002612    -0.012860
    0.526316     0.057143     0.524758     0.044297    -0.001557    -0.012846
    0.526316     0.085714     0.525803     0.072874    -0.000513    -0.012840
    0.526316     0.114286     0.526845     0.101445     0.000529    -0.012841
    0.526316     0.142857     0.527889     0.130008     0.001573    -0.012849
    0.526316     0.171429     0.528943     0.158564     0.002627    -0.012864
    0.578947     0.028571     0.576242     0.013680    -0.002706    -0.014892
    0.578947     0.057143     0.577333     0.042262    -0.001614    -0.014881
    0.578947     0.085714     0.578416     0.070838    -0.000531    -0.014876
    0.578947     0.114286     0.579496     0.099409     0.000549    -0.014877
    0.578947     0.142857     0.580579     0.127974     0.001631    -0.014883
    0.578947     0.171429     0.581670     0.156533     0.002722    -0.014896
    0.631579     0.028571     0.628800     0.011594    -0.002779    -0.016978
    0.631579     0.057143     0.629920     0.040173    -0.001659    -0.016970
    0.631579     0.085714     0.631033     0.068749    -0.000546    -0.016966
    0.631579     0.114286     0.632143     0.097319     0.000564    -0.016966
    0.631579     0.142857     0.633256     0.125886     0.001677    -0.016972
    0.631579     0.171429     0.634376     0.154447     0.002797    -0.016981
    0.684211     0.028571     0.681376     0.009468    -0.002835    -0.019104
    0.684211     0.057143     0.682518     0.038045    -0.001693    -0.019098
    0.684211     0.085714     0.683653     0.066619    -0.000557    -0.019095
    0.684211     0.114286     0.684787     0.095190     0.000576    -0.019095
    0.684211     0.142857     0.685922     0.123758     0.001711    -0.019099
    0.684211     0.171429     0.687063     0.152322     0.002853    -0.019107
    0.736842     0.028571     0.733967     0.007314    -0.002875    -0.021257
    0.736842     0.057143     0.735125     0.035890    -0.001717    -0.021253
    0.736842     0.085714     0.736277     0.064463    -0.000565    -0.021251
    0.736842     0.114286     0.737427     0.093034     0.000585    -0.021252
    0.736842     0.142857     0.738579     0.121603     0.001736    -0.021255
    0.736842     0.171429     0.739735     0.150169     0.002893    -0.021260
    0.789474     0.028571     0.786572     0.005143    -0.002902    -0.023428
    0.789474     0.057143     0.787739     0.033718    -0.001734    -0.023425
    0.789474     0.085714     0.788903     0.062291    -0.000571    -0.023424
    0.789474     0.114286     0.790064     0.090862     0.000591    -0.023424
    0.789474     0.142857     0.791227     0.119431     0.001754    -0.023426
    0.789474     0.171429     0.792395     0.147998     0.002921    -0.023430
    0.842105     0.028571     0.839187     0.002964    -0.002918    -0.025607
    0.842105     0.057143     0.840360     0.031537    -0.001745    -0.025605
    0.842105     0.085714     0.841531     0.060110    -0.000575    -0.025605
    0.842105     0.114286     0.842700     0.088681     0.000595    -0.025605
    0.842105     0.142857     0.843870     0.117251     0.001765    -0.025606
    0.842105     0.171429     0.845043     0.145820     0.002938    -0.025609
    0.894737     0.028571     0.891809     0.000783    -0.002928    -0.027788
    0.894737     0.057143     0.892986     0.029356    -0.001751    -0.027787
    0.894737     0.085714     0.894160     0.057928    -0.000577    -0.027787
    0.894737     0.114286     0.895334     0.086499     0.000597    -0.027787
    0.894737     0.142857     0.896508     0.115069     0.001771    -0.027788
    0.894737     0.171429     0.897684     0.143639     0.002947    -0.027789
    0.947368     0.028571     0.944437    -0.001395    -0.002931    -0.029966
    0.947368     0.057143     0.945615     0.027177    -0.001754    -0.029966
    0.947368     0.085714     0.946791     0.055749    -0.000577    -0.029965
    0.947368     0.114286     0.947967     0.084320     0.000598    -0.029965
    0.947368     0.142857     0.949142     0.112891     0.001774    -0.029966
    0.947368     0.171429     0.950320     0.141462     0.002951    -0.029967
